year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2013,4.88306129688392,8.77781429332623,16.464,8.646391563427688,17.079956931502593,105.73,814.5,14.331205423706876,36.4867,116.0,68.27,100.0,-8.81155,13.242,56.30011836455589,False,True,False,False,144.51793452532303,3.8947529964423104,77.05002376812227
2014,4.65572356315585,7.2803873036112,16.372,8.63953252022042,17.117284210768364,94.42,888.6,14.417161643841007,36.6359,117.0,70.14,100.0,-8.81155,13.242,78.73889213793676,False,True,False,False,119.19450093472257,2.6246637404553503,53.004039290583165
2015,0.763177710914789,9.35597215533783,16.472,8.200488388310973,17.15333492568806,100.7,982.3,14.519247310563753,36.7282,118.0,79.95,100.0,-8.81155,13.242,62.68608464206096,False,True,False,False,154.11157334272474,8.59279444442304,87.53421497145679
2016,-1.70053036291208,15.438486221558357,16.572,7.6269671164307695,17.189099338838567,104.88,852.3,14.67949828586568,36.7562,116.0,85.84,100.0,-8.81155,13.242,59.087854944744514,False,True,False,False,255.84659366366506,17.139016584470436,238.34685681324723
2017,-0.149396225571834,15.438486221558357,16.617,7.934412767085319,17.22450545979518,105.13,809.2,14.725052193840924,36.7089,115.0,85.4,100.0,-8.81155,13.242,65.86060367447315,False,True,False,False,256.54132554363525,15.587882447130191,238.34685681324723
2018,-0.59441122698307,15.438486221558357,16.602,7.958959225254077,17.259037788762317,107.35,948.3,14.870502952054318,36.7193,114.0,85.56,100.0,-8.81155,13.242,65.57358345826354,False,True,False,False,256.3097482503118,16.032897448541426,238.34685681324723
2019,-0.204680245744115,15.438486221558357,16.497,7.821915280221881,17.292916629916387,110.28,961.1,14.886578359728178,36.7819,114.0,84.7,100.0,-8.81155,13.242,64.11076435432217,False,True,False,False,254.68870719704822,15.643166467302471,238.34685681324723
2020,-4.04244724639663,15.438486221558357,16.696,7.473271453454162,17.325596215414812,114.88,982.9,14.939501727751672,36.7883,113.0,78.1,100.0,-8.81155,13.242,63.2788254718673,False,True,False,False,257.7609659551384,19.480933467954987,238.34685681324723
2021,2.10275251923413,15.438486221558357,15.799,7.7427960963404034,17.357409440478254,117.5,993.0,14.93377448213772,36.8308,112.0,83.53,100.0,-8.81155,13.242,64.1444394414858,False,True,False,False,243.91264381440047,13.335733702324227,238.34685681324723
2022,4.21600258475137,15.438486221558357,14.124,8.211513638582367,17.388839700786704,122.41049999999998,1031.3,14.972113099583412,36.9471,112.0,74.96,100.0,-8.81155,13.242,61.46021986565619,False,True,False,False,218.05317939329024,11.222483636806988,238.34685681324723
2002,4.62839587394552,7.7705258343155,17.891,7.300363993843398,14.930983569067594,65.88,3291.9,13.159275658947626,39.6522,122.0,63.7,100.0,41.3317,19.8172,42.88712699172876,False,False,False,True,139.0224777017386,3.1421299603699806,60.3810717417646
2003,5.33326426009945,0.484002611818502,16.985,7.554700920599384,14.92724207860329,69.05,3185.7,13.099096797545783,38.9913,122.0,48.67,100.0,41.3317,19.8172,44.02002398284613,False,False,False,True,8.220784361737257,-4.849261648280948,0.23425852824713156
2004,5.26626173860785,2.28001916938098,16.306,7.802989673781348,14.923062766201856,72.33,3466.3,13.119962497597555,39.0261,121.0,54.62,100.0,41.3317,19.8172,44.71763580019356,False,False,False,True,37.17799257592626,-2.9862425692268695,5.1984874127447345
2005,5.13082193056189,2.36658195679795,15.966,7.91670590557229,14.917944866732752,71.11,3462.1,13.144518138225084,37.4609,120.0,53.88,100.0,41.3317,19.8172,47.69302941928623,False,False,False,True,37.78484752223606,-2.76423997376394,5.600710158241613
2006,6.0189812403864,2.37072831904284,15.626,8.025768993685482,14.911635756385875,73.85,3602.6,13.137253960339487,38.9565,121.0,52.25,100.0,41.3317,19.8172,46.49667927451738,False,False,False,True,37.045000713363414,-3.64825292134356,5.620352762711689
2007,6.50009261158209,2.93268248162317,15.966,8.227924607510275,14.904078571366576,74.88,3728.4,13.109482777503192,38.9217,121.0,54.16,100.0,41.3317,19.8172,47.94608851068471,False,False,False,True,46.82320850159553,-3.5674101299589203,8.600626538019435
2008,6.90706230713707,3.32087090389274,13.06,8.411722640290511,14.896405144368725,77.15,4081.2,13.318753834793744,41.0783,122.0,42.76,100.0,41.3317,19.8172,48.27347543731213,False,False,False,True,43.370574004839185,-3.5861914032443303,11.028183560321384
2009,2.69075152362146,2.26692209450826,13.674,8.346321848187078,14.889666206198394,79.91,4315.3,13.354904235394892,41.7843,125.0,53.28,100.0,41.3317,19.8172,44.58285331623244,False,False,False,True,30.997892720305945,-0.4238294291132001,5.138935782569717
2010,2.97315442681247,3.62710091517479,14.086,8.330898479934596,14.88470158826458,85.68,4761.8,13.449940454854309,41.7843,128.0,60.85,100.0,41.3317,19.8172,38.97516585418452,False,False,False,True,51.091343491152095,0.6539464883623203,13.1558610488618
2011,2.46351683915714,3.42807130141501,13.481,8.404407206917165,14.882011415871675,89.92,4750.7,13.46054985815484,41.7739,130.0,55.75,100.0,41.3317,19.8172,36.04850395458424,False,False,False,True,46.21382921437575,0.9645544622578699,11.7516728475852
2012,0.984129880204108,2.03159268395296,13.376,8.362159860290943,14.86658005417129,95.06,4883.8,13.455115847119991,41.7843,132.0,52.27,100.0,41.3317,19.8172,26.758072335437976,False,False,False,True,27.17458374055479,1.0474628037488518,4.127368833491191
2013,1.7072283175406,1.93762080205223,15.866,8.421547343106369,14.851148612470835,95.64,4949.8,13.462928654665983,41.2974,133.0,59.04,100.0,41.3317,19.8172,31.547185573177185,False,False,False,True,30.74229164536068,0.23039248451163008,3.754374372545527
